##################################################################################
# Grid of water world sub-Neptune atmospheric escape models 
#   wind-ae (Broome+2025)
#
# Atmosphere Composition
#  HI: 1.12e-01
#  OI: 8.88e-01
#
# Parameters:
#   Mp: planet mass (M_earth)
#   Rp: planet radius (R_earth)
#   grav: planet gravity (m/s^2)
#   Teq: equilibrium temperature (K)
#   a: semi-major axis (au)
#   Fxuv: total XUV flux at planet's orbit (Fuv_earth)
#   mstar: stellar mass (Msun)
#   lstar: stellar luminosity (Lsun)
#   Mdot: atmospheric mass-loss rate (kg/s)
#   Mdot_OW17: atmospheric mass-loss rate from Owen & Wu 2017 (kg/s) [IGNORE FOR NOW]
#   ramp_to: 0- ramp success, else- ramp failed
#   run_wind: sim.run_wind() output. 0- wind launched, else- wind failed
#   rochelim: 0- planet outside Roche limit, 1- planet within Roche limit
#
# Created: November 03, 2025
# Units: SI, astronomical
# Pure H2O atmosphere, no conductive or bolometric heat/cool, static bcs.
##################################################################################

Mp	Rp	grav	Teq	a	Fxuv	mstar	lstar	Mdot	MdotOW17	ramp_to	run_wind	rochelim
0.20000	0.61678	5.150000	675	0.05143	1.76388e+02	0.550	0.09151	0.00000e+00	3.01359e+07	10	1	1
0.20000	0.61678	5.150000	675	0.05143	2.36354e+03	0.550	0.09151	0.00000e+00	3.01359e+07	10	1	1
0.20000	0.61678	5.150000	675	0.17002	7.33145e-02	1.000	1.00000	0.00000e+00	2.56358e+06	10	1	1
0.20000	0.61678	5.150000	675	0.17002	9.82388e-01	1.000	1.00000	0.00000e+00	2.56358e+06	10	1	1
0.20000	0.61678	5.150000	675	0.17002	1.31636e+01	1.000	1.00000	0.00000e+00	2.56358e+06	10	1	1
0.20000	0.61678	5.150000	675	0.17002	1.76388e+02	1.000	1.00000	0.00000e+00	2.56358e+06	10	1	1
0.20000	0.61678	5.150000	675	0.17002	2.36354e+03	1.000	1.00000	0.00000e+00	2.56358e+06	10	1	1
0.20000	0.61678	5.150000	950	0.00291	7.33145e-02	0.100	0.00115	0.00000e+00	1.42671e+10	10	1	1
0.20000	0.61678	5.150000	950	0.00291	9.82388e-01	0.100	0.00115	0.00000e+00	1.42671e+10	10	1	1
0.20000	0.61678	5.150000	950	0.00291	1.31636e+01	0.100	0.00115	0.00000e+00	1.42671e+10	10	1	1
0.20000	0.61678	5.150000	950	0.00291	1.76388e+02	0.100	0.00115	0.00000e+00	1.42671e+10	10	1	1
0.20000	0.61678	5.150000	950	0.00291	2.36354e+03	0.100	0.00115	0.00000e+00	1.42671e+10	10	1	1
0.20000	0.61678	5.150000	950	0.00722	7.33145e-02	0.220	0.00707	0.00000e+00	2.69788e+09	10	1	1
0.20000	0.61678	5.150000	950	0.00722	9.82388e-01	0.220	0.00707	0.00000e+00	2.69788e+09	10	1	1
0.20000	0.61678	5.150000	950	0.00722	1.31636e+01	0.220	0.00707	0.00000e+00	2.69788e+09	10	1	1
0.20000	0.61678	5.150000	950	0.00722	1.76388e+02	0.220	0.00707	0.00000e+00	2.69788e+09	10	1	1
0.20000	0.61678	5.150000	950	0.00722	2.36354e+03	0.220	0.00707	0.00000e+00	2.69788e+09	10	1	1
0.20000	0.61678	5.150000	950	0.01031	7.33145e-02	0.300	0.01442	0.00000e+00	1.16540e+09	10	1	1
0.20000	0.61678	5.150000	950	0.01031	9.82388e-01	0.300	0.01442	0.00000e+00	1.16540e+09	10	1	1
0.20000	0.61678	5.150000	950	0.01031	1.31636e+01	0.300	0.01442	0.00000e+00	1.16540e+09	10	1	1
0.20000	0.61678	5.150000	950	0.01031	1.76388e+02	0.300	0.01442	0.00000e+00	1.16540e+09	10	1	1
0.20000	0.61678	5.150000	950	0.01031	2.36354e+03	0.300	0.01442	0.00000e+00	1.16540e+09	10	1	1
0.20000	0.61678	5.150000	950	0.02597	7.33145e-02	0.550	0.09151	1.30161e+04	1.33847e+08	1	0	0
0.20000	0.61678	5.150000	950	0.02597	9.82388e-01	0.550	0.09151	1.58269e+05	1.33847e+08	1	0	0
0.20000	0.61678	5.150000	950	0.02597	1.31636e+01	0.550	0.09151	1.37038e+06	1.33847e+08	1	0	0
